"gamma_RefinedGrains","gamma_StarchyVegetables","gamma_Vegetables","gamma_Fruits","gamma_DairyFoods","gamma_Beef_and_lamb","gamma_Pork","gamma_Chicken_and_other_poultry","gamma_Eggs","gamma_Fish","gamma_Legumes","gamma_Nuts","gamma_SoyFoods","gamma_meatOther","gamma_AddedFats","gamma_AddedSugars","delta_RefinedGrains","delta_RefinedGrains_npersonas","delta_RefinedGrains_quintil","delta_StarchyVegetables","delta_StarchyVegetables_npersonas","delta_StarchyVegetables_quintil","delta_Vegetables","delta_Vegetables_npersonas","delta_Vegetables_quintil","delta_Fruits","delta_Fruits_npersonas","delta_Fruits_quintil","delta_DairyFoods","delta_DairyFoods_npersonas","delta_DairyFoods_quintil","delta_Beef_and_lamb","delta_Beef_and_lamb_npersonas","delta_Beef_and_lamb_quintil","delta_Pork","delta_Pork_npersonas","delta_Pork_quintil","delta_Chicken_and_other_poultry","delta_Chicken_and_other_poultry_npersonas","delta_Chicken_and_other_poultry_quintil","delta_Eggs","delta_Eggs_npersonas","delta_Eggs_quintil","delta_Fish","delta_Fish_npersonas","delta_Fish_quintil","delta_Legumes","delta_Legumes_npersonas","delta_Legumes_quintil","delta_Nuts","delta_Nuts_npersonas","delta_Nuts_quintil","delta_SoyFoods","delta_SoyFoods_npersonas","delta_SoyFoods_quintil","delta_meatOther","delta_meatOther_npersonas","delta_meatOther_quintil","delta_AddedFats","delta_AddedFats_npersonas","delta_AddedFats_quintil","delta_AddedSugars","delta_AddedSugars_npersonas","delta_AddedSugars_quintil","sig","logLike"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-577686.607795937
1.07092643813165,1.05748618815308,1.05851269789422,1.05803371840345,1.0537545826499,1.04350639376661,1.04519571873954,1.04901673701017,1.05182506857168,1.0404275667818,1.04529447347815,1.03891237749169,1.03334242931212,1.04708147344834,1.0473014639476,1.06284140210905,0.0656916716690465,0.0130103016504304,0.016782165440508,-0.00668010406549772,-0.0011562517621811,-0.00192178658308569,0.0126303642644475,0.00206230753424574,0.00157665882371883,0.00452199203308735,4.65641901852812e-05,0.000966785224205846,0.0210225836923009,0.00323820662128851,0.00605068490169882,0.00662023601713425,0.000567285551250749,0.000904423820897384,-0.00317745243465699,-0.000721441665558301,-0.000764389585022794,0.00148079765627061,-0.000117351974494988,-0.000184972636372873,-0.00465028565033381,-0.000933036636803145,-0.00126080639453249,-0.00651426694890906,-0.00110905485975058,-0.00147942207887462,-0.0055710599916076,-0.000709976472330923,-0.00127617780429726,-0.00651888008786812,-0.000698008801521617,-0.00148203003961906,-0.00506338088227179,-0.000487268422331047,-0.000971506365417316,0.000217077276100571,-0.000367392085977402,-0.000193454031366169,-0.00518928232139016,-0.00114250621083753,-0.00179204368176633,0.00109827926761509,0.000774559956134434,0.000158809255425813,1.00113179092705,-573291.037412565
1.71278537358039,1.02700292565201,1.24188068496162,1.1439616341572,1.11478380674446,1.04778649908076,1.01885061172757,1.04271803814353,1.03547801107522,1.00666280225406,0.986635200124752,1.03286722672853,1.02113633820292,1.0300276345553,1.01277565520191,1.29176096522131,0.0185107732717459,-0.00587231758094036,-0.0182067661105199,-0.0463366277527585,-0.00641445019357,-0.0176514866936932,-0.0805996256172123,-0.00333399327542485,-0.0145739728294352,-0.0617830959902213,-0.0051376097908388,-0.014522044244053,-0.0359425786318495,-0.00667382980318177,-0.0100670214171955,-0.0463292467160316,-0.0056911268618292,-0.0145698302129771,-0.0448922997054508,-0.00717443490764694,-0.0163281326656619,-0.0452520110667833,-0.00544338033383006,-0.0166070105346007,-0.0464094839462709,-0.0068514939752795,-0.0167842297458738,-0.0463446984503676,-0.00753250025184883,-0.017050679820104,-0.0402477971077902,-0.00687450211488235,-0.0169720870713379,-0.0500658370841746,-0.00692801760576147,-0.0177267837911937,-0.0526224368152652,-0.00636304212703785,-0.0165859261711841,-0.0471764572254324,-0.00619428214909518,-0.015568347009646,-0.0458523827448106,-0.00658781374125053,-0.0178079127607546,-0.0746895817976938,-0.00548504030308639,-0.0170939783498624,1.00463830423569,-568728.396060154
2.27646502544165,1.02058609921853,2.0884867844216,1.625825198373,1.45764034176065,1.09383024945738,0.914647227112054,1.07925816617463,0.98223758665642,0.854752792717376,0.706204004256004,0.981815592685678,0.977037516731027,0.979223457761268,0.89280910006578,2.37616789057305,0.725410927500313,-0.0506412024544567,-0.0865884231355324,-0.20143254711033,-0.0206801320541997,-0.0601721069459251,-0.37654076301458,-0.0286412122851429,-0.0676876919427549,-0.311960588388179,-0.022156853757713,-0.0576229285962028,-0.211480040180671,-0.0499689608004114,-0.0584541820853866,-0.22966741894622,-0.0276758173803238,-0.0581281794419583,-0.190924911113163,-0.0280206883727667,-0.0580277134350475,-0.2146495066383,-0.0221927164904622,-0.0642942037974082,-0.190038128536151,-0.0262723387907433,-0.0581663549915193,-0.182240359115612,-0.0283749698284337,-0.0587061833265599,-0.151102276822472,-0.0262656519189429,-0.0585730170319032,-0.204285170578524,-0.0265458474888833,-0.0615516259762031,-0.223073650649985,-0.025122954077452,-0.0580141196013023,-0.203268587208687,-0.0277019210972401,-0.058727951135983,-0.189089278674691,-0.0230486901695818,-0.0629921381837995,-0.347364307157081,-0.0269099143098533,-0.0694169667548265,1.02302028099151,-553931.287163348
3.58081191765214,1.52465613989761,0.839215122950796,1.36536077545656,1.23723454564435,1.24052273871572,1.12187873978568,1.34889873302285,1.242181738833,0.98914830247669,0.810716167282105,0.894976154188067,0.860207501098031,1.24908881841619,1.20540492838466,0.925851833751584,1.11368453900258,-0.011649962341589,-0.0451999997671699,-0.277880340469507,-0.0258439572179451,-0.0759357830537356,-0.235238705462259,-0.0354816255667969,-0.069936282662913,-0.271608310228636,-0.0344528615962575,-0.0619276240209316,-0.115898630916563,-0.0706557235664467,-0.0499556327217416,-0.25095462914248,-0.0406000434596829,-0.0732544860192548,-0.252039854519869,-0.0350010820428132,-0.067028286925852,-0.253453136815295,-0.0334056662503898,-0.0830600220749844,-0.251394588605111,-0.0316964589106615,-0.06856838015915,-0.244318018851436,-0.0309407769377883,-0.0728002358554881,-0.197575648506675,-0.0281326792756473,-0.0643268546314465,-0.232009508463363,-0.0277668944489199,-0.0636885069833718,-0.249203637509525,-0.0266929685193809,-0.0614796647813798,-0.257430435032501,-0.0410726586341075,-0.0764226463680194,-0.279491738872099,-0.0311815680059513,-0.0814538384854708,-0.306063277652954,-0.0280249372485057,-0.0691535013272546,1.02929464022507,-549808.229703725
7.30410366551668,2.99076249514774,0.882914348407753,1.7821718330371,1.58063321896677,1.8622563702493,1.84455381292222,2.19725533215388,2.16255228495231,1.55135872416795,1.37074510157721,1.22578347801052,1.1445130030573,2.13985880320276,2.1442754904193,0.98830751494554,1.64086074821981,0.132676920643055,0.0702034464699573,-0.308657784779885,-0.0305528924751112,-0.0850088891475559,0.056039810794858,0.0272666690500728,-0.00367954717989126,-0.163408622915976,-0.0168355098377727,-0.0356835822202645,0.0947158917006644,-0.0271855376382758,0.00791277635596569,-0.158047631886253,-0.0263278240794794,-0.0535934231565973,-0.299503642015033,-0.0461528600077641,-0.0787425680460103,-0.211573210742147,-0.0263654646770729,-0.0743468016273082,-0.294360904965032,-0.0381707443986068,-0.0810393036958013,-0.339195885697269,-0.0500284914971557,-0.0951201050895162,-0.265483966069883,-0.0387592422868945,-0.0813703775580399,-0.336676478180506,-0.0438586356439881,-0.091939422369059,-0.353169190404575,-0.0432805933936577,-0.0878505983351328,-0.233921649999968,-0.030581545850414,-0.0710421303029299,-0.319027613884961,-0.0399038659394934,-0.0945669060981624,-0.131520041581052,0.0212581713928465,-0.022356938503314,1.03991806819215,-516674.380199183
7.26247131608737,2.99652939387762,0.886406128628142,1.78964320218023,1.58679168702305,1.8727397654844,1.84593596462954,2.21079948730956,2.16559733493409,1.5657132288987,1.36858932902322,1.23459360846082,1.12051905526049,2.142236035125,2.15274264235524,0.992256048114303,1.63672911489183,0.130665637435723,0.0697207617401486,-0.308881177133315,-0.0306008532759934,-0.085076218806536,0.0575440870543679,0.0278650825694702,-0.00338593290992792,-0.162341358216139,-0.0164738268366082,-0.0354155688088799,0.0965038151575821,-0.0265469528418669,0.00839203041688653,-0.156097324667579,-0.0256490242414737,-0.0531509050749344,-0.299900279339614,-0.0463133754742733,-0.0788048119487579,-0.210102072028306,-0.0257860235863437,-0.0740409918178725,-0.294800324171269,-0.0383182276086051,-0.081185678746974,-0.33858729284123,-0.0497340216587654,-0.0950645226507489,-0.26609884245452,-0.0389081708152741,-0.0815332486860214,-0.337578295839685,-0.0440278478619569,-0.092253504982764,-0.354289805517868,-0.0435336377773261,-0.088157576203803,-0.23393120194753,-0.0306986545623695,-0.0709619232117977,-0.318550145749293,-0.0397032760138688,-0.0944715821295229,-0.130652784625333,0.0217353054864815,-0.0221627547252293,1.04000199454341,-516401.165526883
7.72320886037653,2.87427007633772,1.21478234012001,2.02447351627165,1.80222786047129,1.88163435919396,1.83045880920873,2.23710644460638,2.15831235196599,1.51086593148144,1.29377392881806,1.21441877181893,1.14391585332413,2.12908480979188,2.126833412258,1.4326534708702,1.53350819529126,0.108318365106382,0.0353503281811137,-0.407403664270052,-0.0430738212694569,-0.112770543977275,-0.110318000436178,0.0153803873232709,-0.0361503692029472,-0.27859295250311,-0.0319757838286255,-0.065918290866754,0.00169113930501073,-0.0479338949120397,-0.0287454768334859,-0.24357867615013,-0.0414410020593411,-0.0859523249481385,-0.401892147805953,-0.0603600265525934,-0.107118980260134,-0.303192750927527,-0.0399896883196079,-0.106590570199592,-0.39530316185213,-0.051654145314302,-0.109066092925185,-0.433807958887721,-0.0640864029195486,-0.123091913094407,-0.361058261268225,-0.0519864972374598,-0.109116603610837,-0.448034109990762,-0.0560870417370382,-0.119815956677826,-0.488663017810643,-0.0536358813093073,-0.114125874191273,-0.326391813596659,-0.0453339550445484,-0.102305081410281,-0.413247220295104,-0.0536487369309442,-0.124548136452875,-0.291320082495344,0.00730330676883407,-0.0534592391805589,1.04297231365468,-511672.473441724
9.23830975146333,4.49441218913865,1.61341056827901,2.99585930148014,2.94436780077516,2.19572341900994,3.20726130179259,2.33854178308755,3.62442325221632,1.1232672892165,2.45813458817763,1.18320195787625,2.89326247346852,3.70142475271519,2.37476463812904,1.86893787862004,1.37387003304276,0.22624010244176,-0.171705034643404,-0.407504167560662,-0.0313798628938607,-0.115742886025238,-0.148035378386745,-0.0343728193361507,-0.0270176687422535,-0.257532497287642,-0.0444008088410718,-0.0571507037616713,0.0313194944148351,-0.0749887435920537,-0.0138437202781331,-0.196586512558988,-0.0817542184358175,-0.0545878995220462,-0.392604467066554,-0.0299628311192643,-0.117537473889848,-0.242377114556591,-0.0808772851633628,-0.0610428898751767,-0.405627031172865,-0.0324279007529055,-0.102212612074597,-0.35515079635234,-0.0959987860874955,-0.0539737566900257,-0.343655594436049,-0.0424184351362937,-0.106549991269652,-0.405102145165066,-0.0668057907361494,-0.0823037028645136,-0.459733306921071,-0.0523279309628259,-0.101464804281891,-0.313776634097472,0.0238253137838411,-0.12652791163003,-0.350936801521432,-0.0529692152522069,-0.105807897390966,-0.272338663923293,-0.0349916090676081,-0.0382516734180486,1.05041872288628,-500695.396347227
10.2822699648659,5.35809836414391,2.17216635361359,3.51366717215357,1.705029172262,3.11406293331394,1.97070223916331,3.88283372843403,3.10163610623497,1.56305445897358,1.80198686345673,1.52333971291613,1.36654933747228,2.24328364550074,3.65794192939638,2.61110586825078,1.35926324141533,0.218610642023825,-0.23083304585766,-0.490153954856665,-0.0519455229348079,-0.13494544580606,-0.169564530764289,-0.0860532491076422,-0.0742785870086548,-0.294844379722065,-0.0829972564460875,-0.0734582819438659,0.139348929882636,-0.107434166229162,-0.0172451976198223,-0.337949554412597,-0.130100348109743,-0.0799913655211771,-0.341484361241692,-0.045113335372505,-0.136225441498723,-0.434844918953611,-0.1236512228498,-0.0799074312325463,-0.406913818100847,-0.0544489252451173,-0.119864472132413,-0.640447432036489,-0.132157392591271,-0.0510086623509643,-0.426986376538228,-0.0566510131486062,-0.116599448848525,-0.60478981971922,-0.0776940670932647,-0.100107909533042,-0.590710270463594,-0.05649171693029,-0.127604399054842,-0.256179442233579,0.0304890370253838,-0.141138528766044,-0.526932371981778,-0.0817387885035544,-0.127540354620382,-0.407300500241129,-0.0675214910173151,-0.0567401646721195,1.08828764054155,-492351.892959875
